iter	Passed	Remaining
0	172	172761
1	175	87358
2	176	58715
3	178	44456
4	180	35916
5	181	30134
6	183	25993
7	184	22878
8	185	20444
9	186	18497
10	187	16897
11	188	15558
12	190	14426
13	191	13458
14	191	12605
15	192	11857
16	194	11242
17	213	11638
18	217	11249
19	219	10734
20	220	10296
21	222	9903
22	224	9539
23	225	9165
24	226	8819
25	226	8499
26	227	8202
27	228	7925
28	229	7697
29	231	7469
30	231	7245
31	232	7034
32	233	6835
33	234	6648
34	234	6474
35	235	6307
36	237	6172
37	238	6030
38	238	5887
39	239	5753
40	240	5626
41	241	5506
42	242	5389
43	243	5283
44	244	5191
45	245	5091
46	246	4992
47	246	4898
48	247	4809
49	248	4722
50	249	4638
51	251	4579
52	252	4507
53	253	4435
54	254	4366
55	254	4298
56	255	4233
57	256	4171
58	258	4129
59	259	4072
60	260	4015
61	261	3961
62	262	3908
63	263	3857
64	265	3825
65	267	3783
66	268	3737
67	268	3684
68	269	3640
69	270	3597
70	271	3555
71	273	3524
72	274	3483
73	275	3443
74	276	3404
75	276	3366
76	277	3329
77	278	3293
78	281	3276
79	282	3246
80	283	3213
81	284	3180
82	284	3148
83	285	3116
84	286	3086
85	288	3069
86	289	3038
87	290	3010
88	291	2981
89	292	2953
90	292	2926
91	294	2906
92	296	2889
93	297	2865
94	298	2838
95	298	2813
96	299	2787
97	300	2762
98	300	2737
99	302	2725
100	304	2707
101	304	2682
102	305	2662
103	306	2641
104	307	2621
105	308	2601
106	311	2600
107	312	2583
108	314	2567
109	314	2547
110	315	2527
111	316	2509
112	318	2496
113	318	2478
114	319	2459
115	320	2440
116	320	2422
117	321	2404
118	322	2385
119	323	2368
120	324	2354
121	325	2343
122	326	2325
123	326	2309
124	327	2293
125	328	2277
126	329	2262
127	329	2244
128	330	2229
129	331	2215
130	332	2207
131	333	2194
132	334	2180
133	335	2166
134	335	2152
135	336	2138
136	337	2125
137	337	2111
138	339	2103
139	341	2095
140	351	2142
141	352	2132
142	354	2127
143	356	2122
144	357	2110
145	358	2097
146	359	2084
147	360	2073
148	360	2060
149	362	2053
150	363	2043
151	364	2031
152	364	2019
153	365	2008
154	366	1996
155	366	1985
156	367	1974
157	368	1964
158	370	1959
159	371	1949
160	372	1938
161	372	1927
162	373	1917
